slug,name,smiles,pathway,superclass,np_class,organism,kingdom,phylum,family,genus,species,geographic_origin,pubchem_cid,chebi_id
caffeine,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,Alkaloids,Pseudoalkaloids,Purine alkaloids,Coffea arabica,Plantae,Tracheophyta,Rubiaceae,Coffea,arabica,Ethiopian highlands (native range of source organism),2519,CHEBI:27732
theobromine,Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,Alkaloids,Pseudoalkaloids,Purine alkaloids,Theobroma cacao,Plantae,Tracheophyta,Malvaceae,Theobroma,cacao,Tropical Central and South America,,
nicotine,Nicotine,CN1CCC[C@H]1c1cccnc1,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,Nicotiana tabacum,Plantae,Tracheophyta,Solanaceae,Nicotiana,tabacum,South America (cultigen),,
morphine,Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,Alkaloids,Tyrosine alkaloids,Morphinan alkaloids,Papaver somniferum,Plantae,Tracheophyta,Papaveraceae,Papaver,somniferum,Eastern Mediterranean (cultigen),,
codeine,Codeine,COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)[C@@H](O)C=C[C@@H]35,Alkaloids,Tyrosine alkaloids,Morphinan alkaloids,Papaver somniferum,Plantae,Tracheophyta,Papaveraceae,Papaver,somniferum,Eastern Mediterranean (cultigen),,
quinine,Quinine,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,Alkaloids,Tryptophan alkaloids,Quinoline alkaloids,Cinchona officinalis,Plantae,Tracheophyta,Rubiaceae,Cinchona,officinalis,Andes of Ecuador and Peru,,
atropine,Atropine,CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,Alkaloids,Ornithine alkaloids,Tropane alkaloids,Atropa belladonna,Plantae,Tracheophyta,Solanaceae,Atropa,belladonna,Europe; Western Asia; North Africa,,
scopolamine,Scopolamine,CN1[C@@H]2CC(C[C@H]1[C@H]1O[C@@H]21)OC(=O)C(CO)c1ccccc1,Alkaloids,Ornithine alkaloids,Tropane alkaloids,Hyoscyamus niger,Plantae,Tracheophyta,Solanaceae,Hyoscyamus,niger,Europe and temperate Asia,,
cocaine,Cocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Alkaloids,Ornithine alkaloids,Tropane alkaloids,Erythroxylum coca,Plantae,Tracheophyta,Erythroxylaceae,Erythroxylum,coca,Andes of South America,,
berberine,Berberine,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2OCOc2cc1-3,Alkaloids,Tyrosine alkaloids,Protoberberine alkaloids,Berberis vulgaris,Plantae,Tracheophyta,Berberidaceae,Berberis,vulgaris,Europe and Western Asia,,
